True_Label,OOF_Probability,OOF_Predicted
0,0.07940154535387556,0
1,0.7287766583370836,1
1,0.7272840856087324,1
0,0.3958749217435317,0
0,0.6894033375493251,1
1,0.834708126941016,1
0,0.6277867318530066,1
1,0.9311980407503222,1
1,0.7590784744147965,1
1,0.8123266357534337,1
1,0.6740961535276726,1
0,0.7883582000340318,1
1,0.7581361037798274,1
1,0.9716102972466643,1
1,0.8712105122352225,1
0,0.2562749885408317,0
0,0.04503881228152372,0
0,0.17786405858861531,0
0,0.5766835950458293,1
0,0.04741955806617988,0
1,0.8470181438806716,1
1,0.7672673215227996,1
0,0.3474415830599593,0
0,0.210457553921254,0
0,0.25316611142563283,0
0,0.13377857797490653,0
0,0.08146855174341845,0
0,0.024551986641055727,0
0,0.2349438441112651,0
0,0.09061560664575748,0
1,0.8970686914930113,1
0,0.14771621807555016,0
1,0.7933039082574831,1
0,0.6669237909943997,1
1,0.3161245262018852,0
0,0.1750655581178911,0
0,0.1321617777695096,0
0,0.24641258958987994,0
0,0.3089372099026416,0
1,0.8726197674886044,1
1,0.8228852012099271,1
1,0.8623216955198214,1
0,0.07270109002968055,0
1,0.8971226395949075,1
0,0.13133268870598996,0
1,0.884050642989521,1
1,0.741078711946603,1
1,0.836371665035979,1
0,0.5533873761218535,1
0,0.44582562495598,0
1,0.9069327884047935,1
1,0.8522921569964937,1
1,0.8653835165851194,1
0,0.9050529273828892,1
1,0.8429843078711023,1
0,0.224150069939257,0
0,0.05121171811891072,0
0,0.19342404041191466,0
0,0.03855249461072195,0
0,0.3917976439522783,0
1,0.8466869025436627,1
0,0.30318265071305756,0
0,0.282064190136382,0
1,0.736380031855707,1
0,0.08773033329434798,0
0,0.07141152294718693,0
0,0.8173462046952734,1
0,0.1020213828671906,0
0,0.6091933297827444,1
0,0.2833475222104894,0
1,0.6681918044016187,1
0,0.029572720106543368,0
1,0.8084803653756188,1
1,0.8967652540155584,1
1,0.5510609258452865,1
0,0.19027728541914257,0
0,0.10062160668805174,0
1,0.7769819641458442,1
1,0.8711532416234966,1
0,0.06750228307833762,0
1,0.7116544502614571,1
1,0.793915455573188,1
1,0.7831893321890776,1
1,0.9458078226877569,1
0,0.8941882622667245,1
1,0.8844502484766645,1
0,0.06663556927026454,0
1,0.7847483459936873,1
1,0.7955983534456932,1
0,0.8179107260210409,1
0,0.21636784931090783,0
1,0.7769913244695743,1
1,0.9036036693482314,1
0,0.092464282290637,0
1,0.8344356782083525,1
1,0.9116118327010564,1
0,0.8591487000449352,1
1,0.73572452361216,1
0,0.02740873657704305,0
0,0.46300915620727445,0
0,0.24254711180207106,0
1,0.8624149433481009,1
1,0.8565585807626697,1
0,0.8701946557589159,1
1,0.9244361644189347,1
1,0.6392324795262485,1
0,0.12957994649873913,0
1,0.9174569768595897,1
0,0.06162189218208954,0
1,0.8964276102457704,1
0,0.7868087430260737,1
1,0.7119429940157458,1
0,0.042180976116270745,0
0,0.43539924327282803,0
1,0.9382796098391026,1
